MIMATID,name,DCIS-normal,invasive-DCIS,Normallike-DCIS,LumA-DCIS,LumB-DCIS,Her2-DCIS,Basallike-DCIS,HER2neg_ERneg_PGRneg-DCIS,HER2neg_ERpos-DCIS,HER2pos_ERneg-DCIS,HER2pos_ERpos-DCIS
MIMAT0000457,MIMAT0000457,,,,,,,,,,,
MIMAT0002171,MIMAT0002171,,,,,,,,,,,
MIMAT0004493,MIMAT0004493,,,,,,,,,,,
MIMAT0000426,MIMAT0000426,,,,,,,,,,,
MIMAT0005948,MIMAT0005948,,,,,,,,,,,
MIMAT0000275,MIMAT0000275,,,,,,,,,,,
MIMAT0000067,MIMAT0000067,,,,,,,,,,,
MIMAT0001627,MIMAT0001627,,,,,DOWN,,,,,,
MIMAT0000078,MIMAT0000078,,,,,,,,,,,
MIMAT0000263,MIMAT0000263,,,,,,,,,,,
MIMAT0000689,MIMAT0000689,,,,,,,,,,,
MIMAT0005939,MIMAT0005939,,,,,,,,,,,
MIMAT0003330,MIMAT0003330,,,,,,,,,,,
MIMAT0003329,MIMAT0003329,,,,,,,,,,,
MIMAT0004589,MIMAT0004589,,,,,,,,,,,
MIMAT0000755,MIMAT0000755,,,,,,,,,,,
MIMAT0002175,MIMAT0002175,,,,,,,,,,,
MIMAT0005929,MIMAT0005929,,,,,,,,,,,
MIMAT0004911,MIMAT0004911,,,,,,,,,,,
MIMAT0004550,MIMAT0004550,,,,,,DOWN,,,,DOWN,
MIMAT0004951,MIMAT0004951,,,,,,,DOWN,DOWN,,,
MIMAT0003886,MIMAT0003886,,,,,,,,,,,
MIMAT0004514,MIMAT0004514,,,,,,,,,,,
MIMAT0000256,MIMAT0000256,,,,,,,,,,,
MIMAT0000419,MIMAT0000419,,,,,,,,,,,
MIMAT0003389,MIMAT0003389,,,,,,,,,,,
MIMAT0000737,MIMAT0000737,,,,,,,,,,,
MIMAT0000705,MIMAT0000705,,,,DOWN,,,,,,,
MIMAT0002817,MIMAT0002817,,,,,,,,,,,
MIMAT0004762,MIMAT0004762,,,,,,,,,,,
MIMAT0000456,MIMAT0000456,,,,,,,,,,,
MIMAT0003180,MIMAT0003180,,,,,,,,,,,
MIMAT0004775,MIMAT0004775,,,,,,,,,,,
MIMAT0003163,MIMAT0003163,,,,,,,,,,,
MIMAT0000099,MIMAT0000099,,,,,,,,,,,
MIMAT0000443,MIMAT0000443,,,,,,,,,,,
MIMAT0000085,MIMAT0000085,,,,,,,,,,,
MIMAT0004697,MIMAT0004697,,,,,,,,,,,
MIMAT0003340,MIMAT0003340,,,,,,,,,,,
MIMAT0000416,MIMAT0000416,,,,,,,,,,,
MIMAT0004587,MIMAT0004587,,,,,,,,,,,
MIMAT0000442,MIMAT0000442,,,,,,,,,,,
MIMAT0004748,MIMAT0004748,,,,,,,,,,,
MIMAT0000693,MIMAT0000693,,,,,,,,,,DOWN,
MIMAT0000707,MIMAT0000707,,,,,,,,,,,
MIMAT0001638,MIMAT0001638,,,,,,,,,,,
MIMAT0000065,MIMAT0000065,,,,,,,,,,,
MIMAT0000258,MIMAT0000258,,,,,,,,,,,
MIMAT0000450,MIMAT0000450,,,,,UP,,,,,,
MIMAT0000770,MIMAT0000770,,,,,,,,,,,
MIMAT0003879,MIMAT0003879,,,,,,,,,,,
MIMAT0004595,MIMAT0004595,,,,,,,,,,,
MIMAT0004602,MIMAT0004602,,,,,,,,,,,
MIMAT0000269,MIMAT0000269,,,,,,,,,,,
MIMAT0000066,MIMAT0000066,,,,,,,,,,,
MIMAT0001639,MIMAT0001639,,,,,,,,,,,
MIMAT0000415,MIMAT0000415,,,,,,,,,,,
MIMAT0000266,MIMAT0000266,,,,,,,,,,,
MIMAT0000757,MIMAT0000757,,,,,,,,,,,
MIMAT0000756,MIMAT0000756,,,,,,,,,,,
MIMAT0004954,MIMAT0004954,,,,,,,,,,,
MIMAT0000231,MIMAT0000231,,,,,,,,,,,
MIMAT0000417,MIMAT0000417,,,,,UP,,,,,,
MIMAT0002176,MIMAT0002176,,,,,,,,,,,
MIMAT0000681,MIMAT0000681,,,,,,,DOWN,,,,
MIMAT0000062,MIMAT0000062,,,,,,,,,,,
MIMAT0000686,MIMAT0000686,,,,,,,,,,,
MIMAT0000232,MIMAT0000232,,,,,,,,,,,
MIMAT0004610,MIMAT0004610,,,,,,,,,,,
MIMAT0000068,MIMAT0000068,,,,,,,,,,,
MIMAT0000438,MIMAT0000438,,,,,,,,,,,
MIMAT0000692,MIMAT0000692,,,,,,,,,,,
MIMAT0003240,MIMAT0003240,,,,,,,,,,,
MIMAT0003266,MIMAT0003266,,,,,,,,,,,
MIMAT0004776,MIMAT0004776,,,,,,,,,,,
MIMAT0000279,MIMAT0000279,,,,,,,,,,,
MIMAT0000761,MIMAT0000761,,,,,,,,,,,
MIMAT0000763,MIMAT0000763,,,,,,,,,,,
MIMAT0004594,MIMAT0004594,,,,,,,,,,,
MIMAT0002814,MIMAT0002814,,,,,,,,,,,
