miRNA	ID
aca-miR-132*	MIMAT0021745
aca-miR-132-3p	MIMAT0021746
aca-miR-132-5p	MIMAT0021745
aca-mir-1329	MI0018738
aca-miR-1329	MIMAT0021747
aca-miR-1329*	MIMAT0021748
aca-miR-1329-3p	MIMAT0021748
aca-miR-1329-5p	MIMAT0021747
aca-miR-133a	MIMAT0021749
aca-mir-133a-1	MI0018739
aca-mir-133a-2	MI0018740
aca-miR-135	MIMAT0021750
aca-mir-135-1	MI0018741
aca-miR-135-1*	MIMAT0021751
aca-miR-135-1-3p	MIMAT0021751
aca-mir-135-2	MI0018742
aca-miR-135-2*	MIMAT0021752
aca-miR-135-2-3p	MIMAT0021752
aca-mir-135-3	MI0018743
aca-miR-135-3*	MIMAT0021753
aca-miR-135-3-3p	MIMAT0021753
aca-miR-135-5p	MIMAT0021750
aca-mir-137a	MI0018744
aca-miR-137a	MIMAT0021754
aca-mir-137b	MI0018745
aca-miR-137b	MIMAT0021756
aca-miR-137b*	MIMAT0021755
aca-miR-137b-3p	MIMAT0021756
aca-miR-137b-5p	MIMAT0021755
aca-miR-138	MIMAT0021757
aca-mir-138-1	MI0018746
aca-miR-138-1*	MIMAT0021758
aca-miR-138-1-3p	MIMAT0021758
aca-mir-138-2	MI0018747
aca-miR-138-2*	MIMAT0021759
aca-miR-138-2-3p	MIMAT0021759
aca-miR-138-5p	MIMAT0021757
aca-mir-1388	MI0018748
aca-miR-1388-3p	MIMAT0021761
aca-miR-1388-5p	MIMAT0021760
aca-mir-139	MI0018749
aca-miR-139-3p	MIMAT0021763
aca-miR-139-5p	MIMAT0021762
aca-mir-1397	MI0018750
aca-miR-1397	MIMAT0021764
aca-mir-140	MI0018751
aca-miR-140-3p	MIMAT0021766
aca-miR-140-5p	MIMAT0021765
aca-mir-142	MI0018752
aca-miR-142-3p	MIMAT0021768
aca-miR-142-5p	MIMAT0021767
aca-mir-143	MI0018753
aca-miR-143	MIMAT0021770
aca-miR-143*	MIMAT0021769
aca-miR-143-3p	MIMAT0021770
aca-miR-143-5p	MIMAT0021769
aca-mir-144	MI0018754
aca-miR-144	MIMAT0021772
aca-miR-144*	MIMAT0021771
aca-miR-144-3p	MIMAT0021772
aca-miR-144-5p	MIMAT0021771
aca-mir-145	MI0018755
aca-miR-145	MIMAT0021773
aca-miR-145*	MIMAT0021774
aca-miR-145-3p	MIMAT0021774
aca-miR-145-5p	MIMAT0021773
aca-mir-146a	MI0018756
aca-miR-146a	MIMAT0021775
aca-miR-146a*	MIMAT0021776
aca-miR-146a-3p	MIMAT0021776
aca-miR-146a-5p	MIMAT0021775
aca-mir-146b	MI0018757
aca-miR-146b	MIMAT0021777
aca-miR-146b*	MIMAT0021778
aca-miR-146b-3p	MIMAT0021778
aca-miR-146b-5p	MIMAT0021777
aca-mir-147	MI0018758
aca-miR-147	MIMAT0021779
aca-mir-148a	MI0018759
aca-miR-148a	MIMAT0021781
aca-miR-148a*	MIMAT0021780
aca-miR-148a-3p	MIMAT0021781
aca-miR-148a-5p	MIMAT0021780
aca-mir-148b	MI0018760
aca-miR-148b	MIMAT0021783
aca-miR-148b*	MIMAT0021782
aca-miR-148b-3p	MIMAT0021783
aca-miR-148b-5p	MIMAT0021782
aca-mir-150	MI0018761
aca-miR-150	MIMAT0021784
aca-miR-150*	MIMAT0021785
aca-miR-150-3p	MIMAT0021785
aca-miR-150-5p	MIMAT0021784
aca-miR-153	MIMAT0021786
aca-miR-153*	MIMAT0021787
aca-mir-153-1	MI0018762
aca-mir-153-2	MI0018763
aca-miR-153-3p	MIMAT0021786
aca-miR-153-5p	MIMAT0021787
aca-mir-155	MI0018764
aca-miR-155	MIMAT0021788
aca-miR-155*	MIMAT0021789
aca-miR-155-3p	MIMAT0021789
aca-miR-155-5p	MIMAT0021788
aca-mir-15a	MI0018766
aca-miR-15a	MIMAT0021792
aca-miR-15a*	MIMAT0021793
aca-miR-15a-3p	MIMAT0021793
aca-miR-15a-5p	MIMAT0021792
aca-mir-15b	MI0018765
aca-miR-15b	MIMAT0021790
aca-miR-15b*	MIMAT0021791
aca-miR-15b-3p	MIMAT0021791
aca-miR-15b-5p	MIMAT0021790
aca-mir-1662	MI0018767
aca-miR-1662	MIMAT0021794
aca-miR-1662*	MIMAT0021795
aca-miR-1662-3p	MIMAT0021795
aca-miR-1662-5p	MIMAT0021794
aca-mir-1677a	MI0018768
aca-miR-1677a	MIMAT0021796
aca-mir-1677b	MI0018769
aca-miR-1677b	MIMAT0021798
aca-miR-1677b*	MIMAT0021797
aca-miR-1677b-3p	MIMAT0021798
aca-miR-1677b-5p	MIMAT0021797
aca-mir-16a	MI0018770
aca-miR-16a	MIMAT0021799
aca-miR-16a*	MIMAT0021800
aca-miR-16a-3p	MIMAT0021800
aca-miR-16a-5p	MIMAT0021799
aca-mir-16b	MI0018771
aca-miR-16b	MIMAT0021801
aca-miR-16b*	MIMAT0021802
aca-miR-16b-3p	MIMAT0021802
aca-miR-16b-5p	MIMAT0021801
aca-mir-17	MI0018772
aca-miR-17	MIMAT0021803
aca-miR-17*	MIMAT0021804
aca-miR-17-3p	MIMAT0021804
aca-miR-17-5p	MIMAT0021803
aca-mir-1788	MI0018773
aca-miR-1788-3p	MIMAT0021806
aca-miR-1788-5p	MIMAT0021805
aca-mir-1805	MI0018774
aca-miR-1805-3p	MIMAT0021808
aca-miR-1805-5p	MIMAT0021807
aca-miR-181a	MIMAT0021809
aca-mir-181a-1	MI0018775
aca-mir-181a-2	MI0018776
aca-mir-181a-3	MI0018777
aca-miR-181b	MIMAT0021810
