miRNA	status	mi-acc	5p-acc	3p-acc	div
mir-342	white	MI0000805	MIMAT0004694	MIMAT0000753	
mir-345	white	MI0000825	MIMAT0000772	MIMAT0022698	
mir-346	white	MI0000826			MIMAT0000773
mir-361	white	MI0000760	MIMAT0000703	MIMAT0004682	
mir-362	white	MI0000762	MIMAT0000705	MIMAT0004683	
mir-363	white	MI0000764	MIMAT0003385	MIMAT0000707	
mir-365a	white	MI0000767	MIMAT0009199	MIMAT0000710	
mir-365b	white	MI0000769	MIMAT0022833	MIMAT0022834	
mir-367	white	MI0000775	MIMAT0004686	MIMAT0000719	
mir-369	white	MI0000777	MIMAT0001621	MIMAT0000721	
mir-370	white	MI0000778	MIMAT0026483	MIMAT0000722	
mir-371a	white	MI0000779	MIMAT0004687	MIMAT0000723	
mir-372	white	MI0000780	MIMAT0026484	MIMAT0000724	
mir-373	white	MI0000781	MIMAT0000725	MIMAT0000726	
mir-374a	white	MI0000782	MIMAT0000727	MIMAT0004688	
mir-374b	white	MI0005566	MIMAT0004955	MIMAT0004956	
mir-375	white	MI0000783			MIMAT0000728
mir-376a-1	white	MI0000784	MIMAT0003386	MIMAT0000729	
mir-376a-2	white	MI0003529	MIMAT0022928	MIMAT0000729	
mir-376b	white	MI0002466	MIMAT0022923	MIMAT0002172	
mir-376c	white	MI0000776	MIMAT0022861	MIMAT0000720	
mir-377	white	MI0000785	MIMAT0004689	MIMAT0000730	
mir-378a	white	MI0000786	MIMAT0000731	MIMAT0000732	
mir-379	white	MI0000787	MIMAT0000733	MIMAT0004690	
mir-380	white	MI0000788	MIMAT0000734	MIMAT0000735	
mir-381	white	MI0000789	MIMAT0022862	MIMAT0000736	
mir-382	white	MI0000790	MIMAT0000737	MIMAT0022697	
mir-383	white	MI0000791	MIMAT0000738	MIMAT0026485	
mir-409	white	MI0001735	MIMAT0001638	MIMAT0001639	
mir-410	white	MI0002465	MIMAT0026558	MIMAT0002171	
mir-411	white	MI0003675	MIMAT0003329	MIMAT0004813	
mir-412	white	MI0002464	MIMAT0026557	MIMAT0002170	
mir-421	white	MI0003685			MIMAT0003339
mir-423	white	MI0001445	MIMAT0004748	MIMAT0001340	
mir-424	white	MI0001446	MIMAT0001341	MIMAT0004749	
mir-425	white	MI0001448	MIMAT0003393	MIMAT0001343	
mir-429	white	MI0001641			MIMAT0001536
mir-431	white	MI0001721	MIMAT0001625	MIMAT0004757	
mir-432	white	MI0003133	MIMAT0002814	MIMAT0002815	
mir-433	white	MI0001723	MIMAT0026554	MIMAT0001627	
mir-448	white	MI0001637			MIMAT0001532
mir-449a	white	MI0001648			MIMAT0001541
