	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0004614	-0.214640354538488	8.40575611958772	-1.06180748642807	0.288512817631035	0.95689721265029	-6.51457369638062
MIMAT0001080	0.260897347192991	7.83320990686282	1.05381776507612	0.292154747493724	0.95689721265029	-6.52296519463526
MIMAT0002171	0.131641932096055	6.80872249034265	1.04233631814881	0.297442221869855	0.95689721265029	-6.53491320481634
MIMAT0000459	0.198624185961887	8.09962981273394	1.03988208421047	0.298580709210429	0.95689721265029	-6.53745021793861
MIMAT0000245	0.276712937515395	10.2957719476056	0.993876881254389	0.320460744226053	0.998689077135471	-6.58390205165006
MIMAT0002819	0.238675860464413	10.5456369924483	0.959609802579693	0.337423298043604	0.998689077135471	-6.61713814135029
MIMAT0003326	0.264839579095769	8.12255798718432	0.945956222483472	0.344340031225419	0.998689077135471	-6.63005651855762
MIMAT0000266	-0.531834444780658	9.97930873110655	-0.938269554767705	0.348273571115504	0.998689077135471	-6.63724794456266
MIMAT0004605	-0.0718659907841115	6.4672547982598	-0.935528972853933	0.34968291118793	0.998689077135471	-6.63979778392543
MIMAT0000074	-0.19731373107936	10.4264752278504	-0.935302661132905	0.3497994533992	0.998689077135471	-6.64000801155416
MIMAT0000085	0.20546897648244	8.16746976615574	0.929482335788477	0.352805181773565	0.998689077135471	-6.64539723128489
MIMAT0003180	0.124091536315728	6.87668336970291	0.922445660524171	0.356460829438009	0.998689077135471	-6.65186784288973
MIMAT0000425	0.241253067428449	10.6717508681865	0.90878980485525	0.363623140927429	0.998689077135471	-6.66428502316514
MI0000064_MIMAT0000064	0.198431520776518	13.7144905557788	0.907180192404533	0.364473258527958	0.998689077135471	-6.66573644745354
MIMAT0000687_MIMAT0002890	0.148191032467839	6.89480939690604	0.883156581548732	0.3773087632813	0.998689077135471	-6.68709367328996
MIMAT0002176	0.0401297528580491	6.31346084156646	0.879448446294278	0.379314536903266	0.998689077135471	-6.69033923901089
MIMAT0002817	0.0844804970295128	6.54148598717619	0.875286340192147	0.381573673631014	0.998689077135471	-6.69396589788732
MIMAT0000081	0.157506447149653	8.84541753573788	0.869511983041024	0.38472157401882	0.998689077135471	-6.69896893543954
MIMAT0005792	-0.198754976078936	10.7083246728039	-0.860869382220109	0.389462704892247	0.998689077135471	-6.70639528209177
MIMAT0000437	-0.262078704423419	10.2468529385222	-0.857102073767152	0.391540451192226	0.998689077135471	-6.70960923510312
MIMAT0000752	0.0391293410111881	6.3317068172287	0.84823265235032	0.396458639887327	0.998689077135471	-6.7171202879615
MIMAT0004776	0.0894907981963744	6.75971076708547	0.82529142835767	0.409351824655679	0.998689077135471	-6.73618600307942
MIMAT0004595	-0.111904893029219	7.02167707081932	-0.820343801046386	0.41216482415953	0.998689077135471	-6.74022936511593
MIMAT0000461	0.316689745691134	10.4881102877906	0.815772859441754	0.414773827090711	0.998689077135471	-6.7439433021935
MIMAT0000226	0.494083914763413	9.34131916253047	0.806108139244151	0.420322334402589	0.998689077135471	-6.7517277286061
MIMAT0000279	-0.260232785699545	8.11767985844402	-0.803149252957455	0.422029715727293	0.998689077135471	-6.75409242527615
MIMAT0002805	0.143420996806968	6.61865557628203	0.801811592198552	0.42280292700958	0.998689077135471	-6.75515861182237
MIMAT0000252	0.297674220879387	8.0353450303769	0.755979441121815	0.449793284191114	0.998689077135471	-6.79061660120981
MIMAT0000253	0.342469274785016	8.85499429931364	0.748547978567947	0.45425996178456	0.998689077135471	-6.79616953407948
MIMAT0000093	0.1358436608019	10.5918836491751	0.722301285831117	0.470234239729834	0.998689077135471	-6.81534292073361
MIMAT0004674	-0.0443656603266085	6.63812193924246	-0.716045597950031	0.474086911537165	0.998689077135471	-6.81981183975119
