	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0002874	hsa-miR-503-5p	0.231334890326581	7.0998822749882	1.71978919438131	0.085667803705532	0.163873992958288	-5.92834439757817
MIMAT0003294	hsa-miR-625-5p	0.321271054136526	7.53656290685048	1.71820391576942	0.0859565472498192	0.163873992958288	-5.93105614096202
MIMAT0003150	hsa-miR-455-5p	0.188903847024224	6.89485328340271	1.66737489777306	0.0956392738906418	0.181031482721572	-6.01668245097063
MIMAT0002813	hsa-miR-493-5p	0.143631697323135	6.51788419287145	1.66167722906652	0.0967771058821589	0.181886050062214	-6.0261210348086
MIMAT0004674	hsa-miR-30c-1-3p	0.076883558725128	6.57378091027952	1.65289602992973	0.0985519176401235	0.183917311088963	-6.04060465599616
MIMAT0000727	hsa-miR-374a-5p	0.349762245137573	7.93315477563058	1.62391295232282	0.104595081756909	0.193830046612454	-6.08786626740581
MIMAT0000446	hsa-miR-127-3p	-0.293174798307189	7.99986251706423	-1.60802965502917	0.108029702363738	0.198804660599934	-6.11341312432683
MIMAT0000414	hsa-let-7g-5p	0.433478549617707	10.7773335617655	1.58916572436234	0.112224279023556	0.20383585131244	-6.14342893023704
MIMAT0004945	hsa-miR-744-5p	0.129265304339212	6.59596031845468	1.58882142076504	0.112302016194778	0.20383585131244	-6.14397349664145
MIMAT0001341	hsa-miR-424-5p	0.439000093202403	8.84658888484051	1.56930064316201	0.11677936527526	0.210520624475808	-6.17465607614563
MIMAT0005796	hsa-miR-1271-5p	-0.116062912015655	6.75630339641632	-1.54935914753729	0.121496906465442	0.217545136576636	-6.2056095026274
MIMAT0001413	hsa-miR-20b-5p	0.342169008003295	9.16523869149503	1.52776330236576	0.126772703013693	0.225443207377413	-6.23868571820025
MIMAT0003888	hsa-miR-766-3p	0.0843929040990146	6.87296281791172	1.52325939786797	0.127895164165613	0.225443207377413	-6.2455255678435
MIMAT0003338	hsa-miR-660-5p	0.271772042920594	8.52811902007619	1.52100424310172	0.128460091750903	0.225443207377413	-6.2489427915562
MIMAT0004568	hsa-miR-221-5p	0.173062458369943	6.78143467946674	1.51009382609508	0.131220663298108	0.228772866934202	-6.26540399836352
MIMAT0000082	hsa-miR-26a-5p	-0.249551073441075	10.820891049991	-1.49324301485433	0.135574469109236	0.234818524927761	-6.29059565841552
MIMAT0000244	hsa-miR-30c-5p	-0.2769458439614	9.9203178623211	-1.48457631368303	0.137856787550138	0.237221095459652	-6.30344245025422
MIMAT0004689	hsa-miR-377-5p	-0.0647002110643351	6.31325377175824	-1.38728162901726	0.165552750761145	0.282222661290349	-6.44254557730564
