MIMAT	name	logFC.merged	adj.P.Val.merged	logFC.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0005865	hsa-miR-1202	 0.2923988	6.431e-01	 0.3555456	0.884854	 TRUE	FALSE	rejected
MIMAT0000098	hsa-miR-100	 0.1920237	6.510e-01	 0.1879491	0.931456	 TRUE	FALSE	white
MIMAT0002821	hsa-miR-181d	 0.1147548	6.510e-01	 0.6853659	0.754665	 TRUE	FALSE	white
MIMAT0004601	hsa-miR-145*	 0.0970273	6.510e-01	 0.4697910	0.829559	 TRUE	FALSE	white
MIMAT0004762	hsa-miR-486-3p	-0.0497291	6.510e-01	-1.1681069	0.512501	 TRUE	FALSE	white
MIMAT0004767	hsa-miR-193b*	 0.0615369	6.510e-01	 0.6599368	0.754665	 TRUE	FALSE	white
MIMAT0003237	hsa-miR-572	-0.1192473	6.611e-01	 1.1433159	0.517488	FALSE	FALSE	rejected
MIMAT0000075	hsa-miR-20a	-0.2023890	6.633e-01	-1.2841731	0.450376	 TRUE	FALSE	white
MIMAT0000086	hsa-miR-29a	 0.1093434	6.633e-01	-0.7086571	0.750835	FALSE	FALSE	white
MIMAT0000257	hsa-miR-181b	-0.1519138	6.633e-01	-1.5883797	0.348246	 TRUE	FALSE	white
MIMAT0000765	hsa-miR-335	 0.1429639	6.633e-01	 0.4950067	0.829559	 TRUE	FALSE	white
MIMAT0003163	hsa-miR-539	 0.0506794	6.633e-01	 0.4936010	0.829559	 TRUE	FALSE	white
MIMAT0003322	hsa-miR-652	 0.1096806	6.633e-01	 0.6719698	0.754665	 TRUE	FALSE	white
MIMAT0004982	hsa-miR-939	-0.1199024	6.633e-01	 0.9298457	0.646565	FALSE	FALSE	rejected
MIMAT0000069	hsa-miR-16	 0.2503543	6.737e-01	 0.6048111	0.775674	 TRUE	FALSE	white
MIMAT0000420	hsa-miR-30b	 0.1411345	6.737e-01	 0.9580243	0.634630	 TRUE	FALSE	white
MIMAT0004945	hsa-miR-744	 0.0663501	6.737e-01	 0.7299519	0.736914	 TRUE	FALSE	white
MIMAT0000222	hsa-miR-192	 0.1576943	6.853e-01	 0.6533783	0.754665	 TRUE	FALSE	white
MIMAT0000099	hsa-miR-101	 0.1251330	6.962e-01	 0.4586898	0.829559	 TRUE	FALSE	white
MIMAT0000757	hsa-miR-151-3p	-0.1188165	6.962e-01	-1.1862397	0.505017	 TRUE	FALSE	white
MIMAT0004589	hsa-miR-30b*	-0.0580757	6.962e-01	-0.8224680	0.694034	 TRUE	FALSE	white
MIMAT0000447	hsa-miR-134	 0.0740167	7.279e-01	 1.0361775	0.591346	 TRUE	FALSE	white
MIMAT0001618	hsa-miR-191*	 0.0291944	7.373e-01	-0.8442530	0.692866	FALSE	FALSE	white
MIMAT0004568	hsa-miR-221*	 0.0786800	7.431e-01	 0.3891290	0.870658	 TRUE	FALSE	white
MIMAT0004784	hsa-miR-455-3p	 0.1379966	7.600e-01	-0.0101793	0.995621	FALSE	FALSE	white
MIMAT0002173	hsa-miR-483-3p	 0.0439309	7.686e-01	 0.5552935	0.793467	 TRUE	FALSE	white
MIMAT0003945	hsa-miR-765	-0.0690645	7.702e-01	 0.0824713	0.974574	FALSE	FALSE	rejected
MIMAT0000460	hsa-miR-194	 0.0717534	7.706e-01	 0.6062658	0.775674	 TRUE	FALSE	white
MIMAT0000703	hsa-miR-361-5p	 0.0701789	7.781e-01	-0.3219249	0.886275	FALSE	FALSE	white
MIMAT0004776	hsa-miR-505*	-0.0508712	7.781e-01	-0.5617831	0.793467	 TRUE	FALSE	white
MIMAT0005901	hsa-miR-1249	 0.0714072	7.781e-01	-1.7130000	0.303494	FALSE	FALSE	white
MIMAT0002175	hsa-miR-485-5p	 0.0214465	7.859e-01	 0.2680123	0.901820	 TRUE	FALSE	white
MIMAT0004493	hsa-miR-20a*	 0.0736546	7.859e-01	 0.7625079	0.718614	 TRUE	FALSE	white
MIMAT0005792	hsa-miR-320b	 0.1028477	7.859e-01	-0.2787127	0.901820	FALSE	FALSE	rejected
MIMAT0000424	hsa-miR-128	 0.0876746	7.943e-01	 0.3533077	0.884854	 TRUE	FALSE	white
MIMAT0000728	hsa-miR-375	 0.2166256	7.943e-01	 0.8238355	0.694034	 TRUE	FALSE	white
MIMAT0000756	hsa-miR-326	 0.0419635	7.943e-01	 0.6661160	0.754665	 TRUE	FALSE	white
MIMAT0001638	hsa-miR-409-5p	 0.0329828	7.943e-01	 0.2045155	0.921943	 TRUE	FALSE	white
MIMAT0003389	hsa-miR-542-3p	 0.0803392	7.943e-01	 0.4607787	0.829559	 TRUE	FALSE	white
MIMAT0000243	hsa-miR-148a	-0.1355675	8.024e-01	-0.9633813	0.634630	 TRUE	FALSE	white
MIMAT0000452	hsa-miR-154	 0.0476164	8.072e-01	-0.0408206	0.986651	FALSE	FALSE	white
MIMAT0000736	hsa-miR-381	-0.0688656	8.072e-01	-1.1462816	0.517488	 TRUE	FALSE	white
MIMAT0000266	hsa-miR-205	-0.2081519	8.139e-01	 0.0440227	0.986651	FALSE	FALSE	white
MIMAT0000720	hsa-miR-376c	 0.0932602	8.139e-01	-0.1069006	0.961877	FALSE	FALSE	white
MIMAT0001343_MIMAT0003393	hsa-miR-425	-0.0876230	8.139e-01	-0.7670224	0.718614	 TRUE	FALSE	white
MIMAT0004674	hsa-miR-30c-1*	-0.0233980	8.139e-01	-1.0272352	0.595194	 TRUE	FALSE	white
MIMAT0004814	hsa-miR-654-3p	 0.0558340	8.139e-01	-0.2379395	0.907449	FALSE	FALSE	white
MIMAT0005949	hsa-miR-664	 0.0278741	8.139e-01	 0.5006006	0.829559	 TRUE	FALSE	rejected
MIMAT0003326	hsa-miR-663	-0.0998047	8.147e-01	-0.4560103	0.829559	 TRUE	FALSE	rejected
MIMAT0000423	hsa-miR-125b	-0.0969135	8.248e-01	-0.4864484	0.829559	 TRUE	FALSE	white
MIMAT0000431	hsa-miR-140-5p	-0.0780596	8.248e-01	-1.3117349	0.444134	 TRUE	FALSE	white
MIMAT0000459	hsa-miR-193a-3p	 0.0632762	8.248e-01	-0.3382685	0.884854	FALSE	FALSE	white
MIMAT0000730	hsa-miR-377	 0.0822107	8.248e-01	-0.3186656	0.886275	FALSE	FALSE	white
MIMAT0002814	hsa-miR-432	 0.0309295	8.248e-01	-0.3406413	0.884854	FALSE	FALSE	white
MIMAT0003340	hsa-miR-542-5p	 0.0661312	8.248e-01	 0.1811394	0.933462	 TRUE	FALSE	white
MIMAT0004599	hsa-miR-143*	 0.0279135	8.248e-01	 0.2782280	0.901820	 TRUE	FALSE	white
MIMAT0004748	hsa-miR-423-5p	-0.0406513	8.248e-01	-0.4426301	0.829559	 TRUE	FALSE	white
MIMAT0001341	hsa-miR-424	 0.1201259	8.279e-01	 0.1266538	0.960607	 TRUE	FALSE	white
MIMAT0002809	hsa-miR-146b-5p	-0.1004096	8.279e-01	-0.8463198	0.692866	 TRUE	FALSE	white
MIMAT0000256	hsa-miR-181a	 0.0831447	8.397e-01	-0.4473532	0.829559	FALSE	FALSE	white
MIMAT0000438	hsa-miR-152	 0.0630765	8.426e-01	 0.0002409	0.999808	 TRUE	FALSE	white
MIMAT0003338	hsa-miR-660	-0.0725529	8.467e-01	-0.8663608	0.692866	 TRUE	FALSE	white
MIMAT0005793	hsa-miR-320c	-0.0590044	8.467e-01	-0.6194034	0.775674	 TRUE	FALSE	rejected
MIMAT0000077	hsa-miR-22	-0.0617561	8.603e-01	-1.8016437	0.264528	 TRUE	FALSE	white
MIMAT0004955	hsa-miR-374b	-0.0491981	8.693e-01	-0.6565702	0.754665	 TRUE	FALSE	white
MIMAT0000446	hsa-miR-127-3p	 0.0637491	8.706e-01	-0.2034795	0.921943	FALSE	FALSE	white
MIMAT0000094	hsa-miR-95	 0.0514796	8.753e-01	-0.0263697	0.990129	FALSE	FALSE	white
MIMAT0000727	hsa-miR-374a	 0.0746103	8.753e-01	-0.0496206	0.986651	FALSE	FALSE	white
MIMAT0001413	hsa-miR-20b	-0.0765658	8.753e-01	-0.3059219	0.886275	 TRUE	FALSE	white
MIMAT0002176	hsa-miR-485-3p	 0.0115164	8.753e-01	 0.0612071	0.984505	 TRUE	FALSE	white
MIMAT0000733	hsa-miR-379	 0.0429811	8.853e-01	-0.0714570	0.979871	FALSE	FALSE	white
MIMAT0000729	hsa-miR-376a	 0.0537856	8.943e-01	-0.3134906	0.886275	FALSE	FALSE	white
MIMAT0004954	hsa-miR-543	 0.0112897	8.943e-01	 0.0399853	0.986651	 TRUE	FALSE	white
MIMAT0000227	hsa-miR-197	 0.0453214	8.971e-01	-0.1357785	0.960607	FALSE	FALSE	white
MIMAT0000252	hsa-miR-7	 0.0816556	8.971e-01	 0.8496706	0.692866	 TRUE	FALSE	white
MIMAT0000445	hsa-miR-126	-0.0697433	8.971e-01	-0.6112796	0.775674	 TRUE	FALSE	white
MIMAT0006764	hsa-miR-320d	 0.0449841	8.971e-01	-0.2692730	0.901820	FALSE	FALSE	rejected
MIMAT0000081	hsa-miR-25	-0.0358622	9.003e-01	-0.7504303	0.721538	 TRUE	FALSE	white
MIMAT0003879	hsa-miR-758	 0.0224584	9.003e-01	-0.2305685	0.910021	FALSE	FALSE	white
MIMAT0000267	hsa-miR-210	-0.0692913	9.105e-01	-0.6786559	0.754665	 TRUE	FALSE	white
MIMAT0000245	hsa-miR-30d	-0.0398725	9.145e-01	-0.8199478	0.694034	 TRUE	FALSE	white
MIMAT0000265	hsa-miR-204	 0.0209983	9.145e-01	-0.0968247	0.966466	FALSE	FALSE	white
