MIMAT	name	logFC.merged	adj.P.Val.merged	logFC.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0004493	hsa-miR-20a*	-0.0640774	7.917e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000227	hsa-miR-197	-0.0783404	7.982e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000318	hsa-miR-200b	-0.1469043	7.982e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000269	hsa-miR-212	 0.0258727	8.163e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000097	hsa-miR-99a	-0.1383401	8.214e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000253	hsa-miR-10a	 0.1476718	8.245e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000266	hsa-miR-205	-0.1875513	8.245e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003330	hsa-miR-654-5p	-0.0124810	8.245e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004602	hsa-miR-125a-3p	-0.0642016	8.245e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004762	hsa-miR-486-3p	-0.0250543	8.245e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000232	hsa-miR-199a-3p	 0.1403688	8.313e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000092	hsa-miR-92a	 0.0726582	8.386e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0002871	hsa-miR-500a*	-0.0304864	8.420e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003389	hsa-miR-542-3p	-0.0533376	8.628e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000068	hsa-miR-15a	 0.0656142	8.791e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000085	hsa-miR-28-5p	-0.0553637	8.791e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000728	hsa-miR-375	 0.1278665	8.791e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000760	hsa-miR-331-3p	 0.0451347	8.791e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003329	hsa-miR-411	-0.0179454	8.791e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003299	hsa-miR-630	 0.0384548	8.811e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0004697	hsa-miR-151-5p	 0.0554122	8.887e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003945	hsa-miR-765	 0.0307026	8.997e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0000705	hsa-miR-362-5p	-0.0324690	9.207e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000451	hsa-miR-150	 0.0901513	9.234e-01	 0.000	1.00	FALSE	FALSE	white
MI0000066_MIMAT0000066	hsa-let-7e	 0.0558087	9.282e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000062	hsa-let-7a	-0.0632584	9.282e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004484	hsa-let-7d*	-0.0061306	9.282e-01	 0.000	1.00	FALSE	FALSE	white
